vendor_id,vendor_name,tax_id,bank_account,address,phone,registration_date,primary_category,is_ghost
V0183,Silverline Contractors Ltd,7605425-5,PK31TMCB67384808219,"91 Multan Rd, Lahore",+92-359-1155908,2019-03-22,Office Supplies,False
V0184,Riverstone Trading Group,8399921-7,PK67TMCB80358134280,"361 Model Town Link, Islamabad",+92-361-8706060,2021-12-07,Construction,False
V0185,Blue Harbor Supplies Inc,6962765-7,PK69TMCB96452826624,"282 Jail Road, Faisalabad",+92-346-8309105,2018-04-28,Transport,False
V0186,Apex Enterprises Inc,5137384-5,PK29TMCB77068345849,"140 Ferozepur Road, Islamabad",+92-313-6641424,2016-01-08,Spare Parts,False
V0187,Ironwood Systems Group,3453278-5,PK19TMCB96044199356,"321 Ferozepur Road, Karachi",+92-313-3621964,2017-12-14,Transport,False
V0188,Summit Systems Group,7844913-1,PK73TMCB25766251106,"300 Jail Road, Multan",+92-348-2326833,2018-07-02,Consulting Services,False
V0189,Ironwood Supplies LLC,2145485-7,PK58TMCB73452537686,"60 Mall Road, Islamabad",+92-342-8039899,2020-03-26,Spare Parts,False
V0190,Meridian Systems Pvt Ltd,5034165-4,PK83TMCB31667776409,"136 Jail Road, Karachi",+92-312-5207360,2018-02-02,Raw Materials,False
V0191,Riverstone Technologies Corp,7766025-1,PK37TMCB34552389712,"146 Ferozepur Road, Lahore",+92-347-3726681,2022-09-29,Raw Materials,False
V0192,Falcon Trading Corp,4284630-4,PK65TMCB88045504893,"257 Multan Rd, Sialkot",+92-346-4969564,2023-01-03,Cleaning Services,False
V0193,Cedarpoint Logistics Group,4229153-4,PK77TMCB11422499989,"383 Gulberg Ave, Multan",+92-344-5427401,2018-09-01,Office Supplies,False
V0194,Cobalt Enterprises Inc,6782704-8,PK98TMCB30265989949,"44 Gulberg Ave, Multan",+92-308-7934905,2023-12-14,Construction,False
V0195,Trident Industrial Corp,2442933-3,PK21TMCB34127659433,"161 Davis Road, Faisalabad",+92-369-4886611,2018-02-06,Security Services,False
V0196,Cobalt Solutions LLC,2938931-1,PK29TMCB15215081008,"78 Multan Rd, Sialkot",+92-374-1534623,2022-07-04,Hardware,False
V0197,Riverstone Solutions Pvt Ltd,7658832-1,PK30TMCB33824053955,"324 Cavalry Ground, Sialkot",+92-371-3694777,2021-02-05,Security Services,False
V0198,Onyx Engineering Pvt Ltd,9643030-2,PK40TMCB33813784480,"385 Mall Road, Islamabad",+92-394-7295761,2017-04-11,Spare Parts,False
V0199,Cobalt Supplies Group,8516131-8,PK28TMCB10387519810,"229 Raiwind Rd, Islamabad",+92-398-1347798,2016-11-17,Consulting Services,False
V0200,Onyx Enterprises Ltd,2263014-3,PK40TMCB43438888756,"299 Gulberg Ave, Karachi",+92-311-6079358,2018-09-09,Office Supplies,False
V0201,Vertex Solutions Group,7213616-1,PK97TMCB47065909626,"261 Jail Road, Karachi",+92-390-3212880,2023-12-08,Spare Parts,False
V0202,Meridian Enterprises Corp,1880091-4,PK51TMCB28050622418,"70 Gulberg Ave, Islamabad",+92-342-3604867,2016-09-23,Spare Parts,False
V0203,Summit Contractors Inc,8224484-6,PK33TMCB34672095431,"48 Canal Bank Rd, Karachi",+92-310-9494184,2019-08-15,Office Supplies,False
V0204,Cedarpoint Technologies LLC,8620038-6,PK45TMCB13160512999,"34 Ferozepur Road, Multan",+92-364-8046146,2016-06-12,Consulting Services,False
V0205,Silverline Contractors & Co,8658973-2,PK85TMCB30489503211,"209 Mall Road, Sialkot",+92-385-3752201,2015-11-22,Construction,False
V0206,Crescent Industrial Group,2431215-9,PK19TMCB49710047362,"291 Mall Road, Sialkot",+92-315-9860822,2021-09-14,Hardware,False
V0207,Onyx Industrial Group,6588597-2,PK47TMCB31450467642,"48 Canal Bank Rd, Faisalabad",+92-365-5546251,2020-03-30,Cleaning Services,False
V0208,Silverline Systems Group,9649056-9,PK81TMCB76287089592,"99 Canal Bank Rd, Multan",+92-325-8170746,2016-09-11,Raw Materials,False
V0209,Apex Enterprises Group,9260739-1,PK97TMCB41684560681,"142 Multan Rd, Faisalabad",+92-340-9879657,2016-12-31,Hardware,False
V0210,Cobalt Engineering & Co,8879850-0,PK35TMCB80901356556,"240 Jail Road, Faisalabad",+92-394-8951767,2022-01-07,Raw Materials,False
V0211,Northgate Technologies & Co,3647257-6,PK93TMCB12200575679,"332 Model Town Link, Karachi",+92-397-3881988,2020-01-27,Construction,False
V0212,Pinnacle Engineering Ltd,5072156-3,PK82TMCB12780355333,"346 Empress Road, Islamabad",+92-349-8805659,2015-06-17,Raw Materials,False
V0213,Falcon Logistics Pvt Ltd,5722988-8,PK29TMCB89713465376,"298 Canal Bank Rd, Karachi",+92-355-4685813,2022-01-05,Spare Parts,False
V0214,Silverline Trading LLC,9626636-4,PK73TMCB67200431860,"149 Shahrah-e-Quaid, Sialkot",+92-351-5285203,2016-02-09,Office Supplies,False
V0215,Meridian Solutions LLC,2813814-0,PK89TMCB83057713408,"24 Jail Road, Sialkot",+92-351-2269245,2017-05-14,Security Services,False
V0216,Summit Contractors & Co,9297076-8,PK39TMCB25222123664,"117 Gulberg Ave, Lahore",+92-301-2080995,2018-06-04,Hardware,False
V0217,Meridian Contractors Ltd,1666519-0,PK42TMCB65792438215,"218 Canal Bank Rd, Multan",+92-388-9361736,2018-09-07,Cleaning Services,False
V0218,Blue Harbor Solutions Inc,5699125-9,PK73TMCB50265347660,"282 Jail Road, Karachi",+92-340-2527426,2018-10-14,Spare Parts,False
V0219,Onyx Technologies LLC,2381783-7,PK31TMCB85786313658,"275 Canal Bank Rd, Sialkot",+92-366-8707685,2022-12-07,Hardware,False
V0220,Trident Enterprises Pvt Ltd,3768988-7,PK29TMCB72001130720,"260 Empress Road, Lahore",+92-329-6119503,2017-03-28,Consulting Services,False
V0221,Northgate Logistics Pvt Ltd,6596757-4,PK64TMCB66119173267,"369 Ferozepur Road, Karachi",+92-366-7072752,2020-01-14,Construction,False
V0222,Cobalt Trading Group,5021549-0,PK46TMCB17804033527,"398 Gulberg Ave, Karachi",+92-348-7686156,2021-12-09,Consulting Services,False
V0223,Trident Systems Inc,5912184-0,PK77TMCB52530038499,"216 Model Town Link, Lahore",+92-367-9351734,2023-05-15,Office Supplies,False
V0224,Halcyon Logistics & Co,6417972-9,PK75TMCB16466530193,"164 Raiwind Rd, Multan",+92-345-9295163,2018-01-05,Office Supplies,False
V0225,Halcyon Logistics Inc,6300719-1,PK47TMCB18566878450,"87 Multan Rd, Lahore",+92-364-4298344,2021-12-03,Transport,False
V0226,Falcon Enterprises Ltd,2939430-5,PK96TMCB94696865627,"62 Cavalry Ground, Karachi",+92-346-2757050,2017-12-08,Raw Materials,False
V0227,Granite Supplies LLC,3606247-7,PK23TMCB91521266761,"93 Cavalry Ground, Faisalabad",+92-317-5428815,2022-08-25,Raw Materials,False
V0228,Halcyon Systems Pvt Ltd,7529911-2,PK41TMCB33658419894,"100 Multan Rd, Faisalabad",+92-379-1079382,2023-11-30,Software Licenses,False
V0229,Vertex Supplies & Co,7495629-8,PK45TMCB28347456459,"373 Jail Road, Faisalabad",+92-368-3023713,2017-09-23,Security Services,False
V0230,Silverline Technologies Corp,5040741-9,PK91TMCB81860351033,"362 Cavalry Ground, Karachi",+92-303-6732085,2019-12-04,Hardware,False
V0231,Cobalt Industrial Inc,6181303-6,PK46TMCB77425674157,"163 Davis Road, Islamabad",+92-343-5747894,2016-02-23,Office Supplies,False
V0232,Summit Logistics Group,9868558-4,PK15TMCB78340699001,"91 Cavalry Ground, Faisalabad",+92-310-9784819,2017-11-05,Software Licenses,False
V0233,Summit Technologies & Co,9026049-2,PK71TMCB14944149027,"26 Cavalry Ground, Faisalabad",+92-380-1200099,2022-08-21,Software Licenses,False
V0234,Crescent Logistics & Co,3059965-4,PK70TMCB16461742812,"177 Model Town Link, Multan",+92-368-2135542,2015-02-06,Transport,False
V0235,Summit Logistics Corp,4034234-5,PK70TMCB28251140734,"60 Davis Road, Faisalabad",+92-317-2768267,2020-05-24,Security Services,False
V0236,Halcyon Systems Inc,6035838-3,PK91TMCB42369966429,"191 Shahrah-e-Quaid, Karachi",+92-370-1943369,2018-03-03,Office Supplies,False
V0237,Riverstone Supplies Ltd,3928543-4,PK58TMCB64936369825,"257 Multan Rd, Multan",+92-358-2994433,2021-05-28,Hardware,False
V0238,Meridian Systems Inc,6587611-6,PK71TMCB13829663588,"98 Empress Road, Karachi",+92-354-2461209,2018-09-22,Hardware,False
V0239,Summit Industrial Group,6106760-9,PK48TMCB93661562400,"81 Raiwind Rd, Lahore",+92-339-5665141,2023-07-26,Transport,False
V0240,Apex Systems Group,7437232-9,PK27TMCB97363914506,"362 Gulberg Ave, Faisalabad",+92-370-1600348,2022-08-25,Hardware,False
V0241,Granite Contractors & Co,5329005-4,PK66TMCB23822180117,"229 Multan Rd, Multan",+92-370-7325933,2021-07-26,Software Licenses,False
V0242,Trident Logistics Inc,7504620-5,PK58TMCB97251272534,"125 Ferozepur Road, Multan",+92-303-9729978,2016-07-28,Raw Materials,False
V0243,Summit Enterprises Inc,6338056-9,PK56TMCB29371937335,"293 Cavalry Ground, Sialkot",+92-363-2798228,2022-08-31,Spare Parts,False
V0244,Pinnacle Contractors Ltd,3321045-0,PK71TMCB98858135795,"217 Ferozepur Road, Islamabad",+92-306-7067756,2022-09-20,Raw Materials,False
V0245,Blue Harbor Trading LLC,5277750-7,PK77TMCB35661016037,"205 Jail Road, Lahore",+92-387-5680646,2017-11-09,Cleaning Services,False
V0246,Apex Engineering Group,9576775-2,PK67TMCB20430897878,"141 Empress Road, Multan",+92-342-2274750,2017-06-09,Software Licenses,False
V0247,Summit Solutions Ltd,1426352-5,PK35TMCB22580883142,"84 Model Town Link, Multan",+92-345-5696887,2017-06-02,Consulting Services,False
V0248,Silverline Trading & Co,6529474-3,PK43TMCB68620149885,"304 Ferozepur Road, Islamabad",+92-304-3234647,2018-01-08,Office Supplies,False
V0249,Blue Harbor Supplies Group,8292722-0,PK43TMCB57739706163,"82 Multan Rd, Lahore",+92-306-5636199,2021-10-22,Raw Materials,False
V0250,Trident Engineering Group,1902586-0,PK79TMCB94816382571,"130 Mall Road, Sialkot",+92-362-7874595,2023-02-19,Consulting Services,False
V0251,Falcon Enterprises Inc,6691194-2,PK92TMCB98290433020,"295 Mall Road, Islamabad",+92-349-5922889,2019-10-29,Software Licenses,False
V0252,Onyx Supplies Ltd,9888826-1,PK11TMCB50725713836,"42 Empress Road, Faisalabad",+92-330-5318186,2016-05-12,Security Services,False
V0253,Blue Harbor Engineering Ltd,2178291-2,PK14TMCB95087491518,"394 Canal Bank Rd, Multan",+92-350-1816315,2019-12-06,Office Supplies,False
V0254,Apex Contractors Group,5521716-9,PK96TMCB33295207351,"352 Raiwind Rd, Multan",+92-381-5034270,2016-02-28,Consulting Services,False
V0255,Silverline Systems Corp,4509004-3,PK57TMCB97887435976,"91 Gulberg Ave, Multan",+92-331-1279626,2018-08-18,Raw Materials,False
V0256,Cobalt Technologies Group,7120313-4,PK26TMCB70733147715,"149 Canal Bank Rd, Faisalabad",+92-334-4139745,2017-09-24,Spare Parts,False
V0257,Pinnacle Engineering & Co,4251689-1,PK85TMCB61475556307,"107 Gulberg Ave, Lahore",+92-394-4083852,2021-09-02,Hardware,False
V0258,Crescent Contractors Pvt Ltd,7106053-7,PK40TMCB82624980191,"53 Empress Road, Sialkot",+92-326-2359322,2021-05-23,Office Supplies,False
V0259,Riverstone Solutions Corp,5397789-3,PK56TMCB56725051141,"65 Davis Road, Faisalabad",+92-371-5044516,2020-07-08,Raw Materials,False
V0260,Apex Trading Corp,6446232-2,PK33TMCB19742449732,"16 Davis Road, Karachi",+92-332-8420689,2015-04-18,Raw Materials,False
V0261,Blue Harbor Technologies Pvt Ltd,9212019-3,PK47TMCB40510696653,"185 Empress Road, Lahore",+92-330-6438481,2015-03-24,Consulting Services,False
V0262,Summit Technologies Group,6395472-9,PK41TMCB55379741997,"371 Davis Road, Faisalabad",+92-393-1299994,2021-12-18,Hardware,False
V0263,Falcon Enterprises Group,5310334-8,PK25TMCB79018801128,"174 Shahrah-e-Quaid, Multan",+92-373-1612598,2023-05-13,Office Supplies,False
V0264,Meridian Contractors Corp,5009479-7,PK13TMCB69060668328,"38 Ferozepur Road, Lahore",+92-367-7652913,2022-03-12,Cleaning Services,False
V0265,Cobalt Logistics Group,4132240-0,PK76TMCB47275976942,"111 Empress Road, Lahore",+92-364-5163419,2017-05-21,Security Services,False
V0266,Silverline Systems LLC,1434482-8,PK26TMCB90436881583,"108 Cavalry Ground, Islamabad",+92-373-7663516,2019-07-10,Hardware,False
V0267,Silverline Engineering Pvt Ltd,4370226-5,PK14TMCB41673694871,"61 Multan Rd, Faisalabad",+92-354-5349834,2022-06-01,Security Services,False
V0268,Ironwood Solutions Corp,1068258-7,PK54TMCB85432289933,"387 Ferozepur Road, Lahore",+92-395-6025082,2016-07-12,Consulting Services,False
V0269,Onyx Supplies & Co,3848803-2,PK24TMCB20366744798,"371 Jail Road, Faisalabad",+92-337-3342070,2015-07-13,Raw Materials,False
V0270,Cobalt Industrial Group,1110239-0,PK55TMCB33270146033,"205 Mall Road, Faisalabad",+92-331-4598549,2023-06-08,Consulting Services,False
V0271,Cedarpoint Technologies Pvt Ltd,3345781-3,PK20TMCB74625610296,"235 Model Town Link, Islamabad",+92-341-7415923,2015-12-09,Spare Parts,False
V0272,Halcyon Enterprises Inc,3830280-8,PK32TMCB93012187468,"193 Cavalry Ground, Lahore",+92-381-6260284,2023-05-14,Construction,False
V0273,Halcyon Supplies LLC,3935939-3,PK70TMCB47454551205,"181 Canal Bank Rd, Karachi",+92-358-8730696,2017-04-12,Office Supplies,False
V0274,Cobalt Trading Ltd,6883573-1,PK40TMCB68991345344,"178 Ferozepur Road, Multan",+92-398-7736629,2018-08-15,Cleaning Services,False
V0275,Pinnacle Industrial Group,3881448-9,PK42TMCB58345538348,"187 Canal Bank Rd, Sialkot",+92-304-4319905,2019-11-22,Consulting Services,False
V0276,Summit Solutions Pvt Ltd,3765276-6,PK39TMCB41084505384,"155 Shahrah-e-Quaid, Faisalabad",+92-397-1151487,2018-05-30,Consulting Services,False
V0277,Cobalt Technologies Corp,3694383-5,PK20TMCB81430536182,"364 Jail Road, Lahore",+92-374-9913375,2021-04-14,Transport,False
V0278,Apex Trading Inc,6058082-0,PK21TMCB77636760424,"12 Raiwind Rd, Lahore",+92-378-8824255,2020-05-20,Construction,False
V0279,Cedarpoint Solutions Inc,7791131-5,PK84TMCB88214840764,"18 Mall Road, Lahore",+92-357-2946423,2016-05-26,Cleaning Services,False
V0280,Falcon Solutions Inc,4782001-0,PK26TMCB40512126332,"282 Shahrah-e-Quaid, Karachi",+92-326-1842246,2019-06-15,Cleaning Services,False
V0281,Riverstone Enterprises Ltd,2798154-2,PK36TMCB97486315940,"66 Shahrah-e-Quaid, Faisalabad",+92-362-3768656,2020-06-16,Consulting Services,False
V0282,Riverstone Trading Ltd,7556336-6,PK13TMCB10437160399,"382 Shahrah-e-Quaid, Sialkot",+92-393-7808526,2016-11-24,Office Supplies,False
V0283,Ironwood Engineering Corp,4925227-0,PK38TMCB56954279276,"224 Model Town Link, Karachi",+92-366-3693571,2020-07-23,Security Services,False
V0284,Onyx Trading LLC,4462150-0,PK26TMCB41690842652,"60 Canal Bank Rd, Karachi",+92-311-7876683,2022-06-03,Office Supplies,False
V0285,Granite Contractors Group,1293331-9,PK15TMCB46294622463,"298 Mall Road, Karachi",+92-323-9874266,2017-12-25,Consulting Services,False
V0286,Crescent Industrial Ltd,6162765-4,PK54TMCB62239446747,"62 Jail Road, Karachi",+92-383-2247224,2021-08-16,Office Supplies,False
V0287,Meridian Solutions Pvt Ltd,8814127-8,PK42TMCB61097103917,"261 Mall Road, Karachi",+92-316-1622243,2019-08-27,Spare Parts,False
V0288,Halcyon Technologies Ltd,7513706-0,PK15TMCB87629302035,"283 Empress Road, Lahore",+92-303-1213808,2022-12-29,Hardware,False
V0289,Vertex Systems Group,3112331-4,PK58TMCB48361978285,"114 Davis Road, Sialkot",+92-340-5505947,2023-01-02,Security Services,False
V0290,Silverline Industrial & Co,8476334-9,PK14TMCB52988389261,"40 Empress Road, Lahore",+92-369-7166930,2021-11-13,Consulting Services,False
V0291,Onyx Engineering Ltd,4299229-3,PK56TMCB51600513712,"171 Canal Bank Rd, Multan",+92-337-3257675,2022-10-13,Raw Materials,False
V0292,Apex Industrial Group,8848937-2,PK63TMCB22040778303,"181 Shahrah-e-Quaid, Sialkot",+92-380-3137820,2018-12-06,Software Licenses,False
V0293,Apex Technologies Group,2595450-9,PK33TMCB77326386316,"18 Ferozepur Road, Lahore",+92-385-4089206,2021-10-21,Cleaning Services,False
V0294,Northgate Logistics Ltd,3755191-5,PK27TMCB33185568055,"396 Jail Road, Karachi",+92-351-4518532,2019-12-31,Construction,False
V0295,Riverstone Enterprises Inc,9032872-3,PK81TMCB32254037476,"211 Raiwind Rd, Multan",+92-328-3968068,2019-10-22,Security Services,False
V0296,Halcyon Engineering LLC,2772376-5,PK91TMCB19655835177,"195 Jail Road, Karachi",+92-395-2232881,2015-08-10,Cleaning Services,False
V0297,Cedarpoint Enterprises Ltd,1884569-1,PK76TMCB18724108760,"306 Ferozepur Road, Sialkot",+92-397-1954343,2015-08-14,Hardware,False
V0298,Riverstone Systems & Co,3358920-7,PK15TMCB74651550684,"331 Empress Road, Faisalabad",+92-343-9295381,2021-04-10,Software Licenses,False
V0299,Halcyon Trading & Co,2714888-6,PK46TMCB78050872876,"175 Jail Road, Sialkot",+92-341-1057588,2016-10-27,Construction,False
V9000,Zenith Trading Ltd,1913646-8,PK13TMCB62704338531,"16 Unknown Rd, Lahore",+92-340-5050305,2024-11-18,Office Supplies,True
V9001,Vanguard Supplies Ltd,1597213-9,PK24TMCB94972928235,"149 Jail Road, Faisalabad",+92-392-9502366,2024-01-27,Cleaning Services,True
V8002,Trident Holdings & Co,3630856-5,PK82TMCB72752376574,"149 Gulberg Ave, Multan",+92-387-6998908,2025-01-24,Construction,True
V9002,Orbit Services Ltd,6371309-3,PK82TMCB72752376574,"300 Unknown Rd, Lahore",+92-339-4022256,2025-03-05,Consulting Services,True
V9003,Nexa Trading Ltd,3904504-7,PK52TMCB18995667019,"81 Unknown Rd, Lahore",+92-309-4395013,2025-12-16,Office Supplies,True
V9004,Solara Supplies Ltd,3536728-3,PK92TMCB56992730248,"353 Cavalry Ground, Faisalabad",+92-361-8942095,2025-08-28,Cleaning Services,True
V9005,Zenith Services Ltd,4440477-1,PK32TMCB27854466695,"329 Shahrah-e-Quaid, Multan",+92-387-9927712,2023-11-10,Spare Parts,True
V8006,Halcyon Holdings Ltd,8256066-7,PK59TMCB57912635280,"217 Ferozepur Road, Faisalabad",+92-363-4706968,2023-05-17,Cleaning Services,True
V9006,Vanguard Trading Ltd,6459441-7,PK59TMCB57912635280,"125 Unknown Rd, Lahore",+92-361-3435070,2023-12-02,Spare Parts,True
V9007,Orbit Supplies Ltd,8875339-2,PK54TMCB70781002360,"178 Mall Road, Sialkot",+92-389-3558535,2025-11-14,Cleaning Services,True
V9008,Nexa Services Ltd,2901052-3,PK17TMCB54483379912,"109 Canal Bank Rd, Karachi",+92-338-6022088,2025-01-11,Cleaning Services,True
